,time,Unnamed: 0,Unnamed: 0.1,date,hour,type,1325A,1326A,1327A,1328A,1329A,1330A,1331A,1332A,1333A,1334A,2423A,2424A,2426A,2427A,2428A,2429A,2430A,2431A,2432A,2433A,2434A,2435A,2436A,2437A,2438A,2439A,2440A,2441A,2443A,2444A,2446A,2447A,2448A,2449A,2450A,2451A,2452A,2453A,2454A,2455A,1839A,1840A,1841A,1842A,1843A,1844A,1845A,1846A,2436A.1,2437A.1,2438A.1
0,2018010100,0,13,20180101,0,CO,0.9,2.6,1.7,2.4,2.1,1.3,1.6,1.7,2.3,1.3,1.2,1.5,1.5,1.6,1.0,1.6,1.1,1.1,1.0,1.2,1.3,0.8,1.4,1.6,3.7,1.7,1.2,1.3,1.9,2.1,1.0,1.0,1.4,1.6,1.5,1.8,1.4,1.3,0.9,1.6,1.5,1.3,2.0,2.1,1.1,1.6,1.3,1.4,1.4,1.6,3.7
1,2018010101,1,28,20180101,1,CO,0.9,2.3,1.6,2.4,2.0,1.4,1.5,1.7,2.3,1.3,1.2,1.7,1.6,1.6,1.0,1.5,1.2,0.9,1.0,1.2,1.3,0.8,1.4,1.6,3.4,1.9,1.2,1.2,1.9,2.1,0.8,1.0,1.2,1.5,1.5,1.8,1.4,1.4,0.9,1.2,1.5,1.4,2.0,2.1,1.1,1.6,1.3,1.5,1.4,1.6,3.4
2,2018010102,2,43,20180101,2,CO,0.9,2.2,1.7,2.5,2.1,1.3,1.8,1.9,1.9,1.3,1.2,1.9,1.8,1.8,1.0,1.2,1.2,1.0,1.0,1.2,1.3,0.8,1.3,1.4,2.7,1.3,1.3,1.2,1.7,1.9,0.8,1.0,1.1,1.2,1.4,1.8,1.4,1.4,0.8,1.4,1.5,1.4,2.1,1.9,1.1,1.6,1.3,1.5,1.3,1.4,2.7
3,2018010103,3,58,20180101,3,CO,0.9,2.0875000000000004,1.5999999999999999,2.35,1.9375,1.2875,1.6875,1.8125,1.825,1.3,1.2,1.7874999999999999,1.7,1.7125000000000001,1.0125,1.1,1.2,1.0,1.0,1.3,1.4,0.8,1.2750000000000001,1.3624999999999998,2.7,1.3625,1.34,1.2625,1.6125,1.7999999999999998,0.8,0.9,1.1,1.2,1.5,1.8,1.4375,1.4249999999999998,0.7,1.6,1.4625,1.375,2.0875,1.9,1.1,1.6,1.35,1.5875,1.2750000000000001,1.3624999999999998,2.7
4,2018010104,4,73,20180101,4,CO,0.9,1.975,1.5,2.2,1.7750000000000001,1.275,1.575,1.7249999999999999,1.75,1.3,1.2,1.6749999999999998,1.6,1.625,1.025,1.0,1.2,1.0,1.1,1.3,1.3,0.9,1.25,1.325,2.7,1.425,1.3800000000000001,1.325,1.525,1.7,0.8,0.9,1.0,1.1,1.4,1.8,1.4749999999999999,1.45,0.7,1.5,1.425,1.3499999999999999,2.075,1.9,1.1,1.6,1.4,1.675,1.25,1.325,2.7
5,2018010105,5,88,20180101,5,CO,0.9,1.8625000000000003,1.4,2.05,1.6125,1.2625,1.4625,1.6375,1.675,1.3,1.2,1.5625,1.5,1.5375,1.0375,1.0,1.2,1.1,1.3,1.4,1.7,1.1,1.225,1.2875,2.7,1.4875,1.42,1.3875,1.4375,1.6,0.8,0.9,1.0,1.1,1.4,1.8,1.5125,1.475,0.7,1.5,1.3875,1.325,2.0625,1.9,1.1,1.6,1.45,1.7625000000000002,1.225,1.2875,2.7
6,2018010106,6,103,20180101,6,CO,0.9,1.75,1.3,1.9,1.4500000000000002,1.25,1.35,1.5499999999999998,1.6,1.3,1.2,1.45,1.4,1.4500000000000002,1.05,1.1,1.4,1.1,1.5,1.5,1.9,1.3,1.2000000000000002,1.25,2.7,1.55,1.46,1.45,1.35,1.5,0.8,0.8,1.0,1.1,1.4,1.8,1.5499999999999998,1.5,0.8,1.4,1.35,1.2999999999999998,2.05,1.9,1.1,1.6,1.5,1.85,1.2000000000000002,1.25,2.7
7,2018010107,7,118,20180101,7,CO,0.9,1.6375000000000002,1.2,1.75,1.2875,1.2375,1.2375,1.4625,1.525,1.3,1.2,1.3375,1.3,1.3625,1.0625,1.2,1.5,1.1,1.2,1.5,1.5,1.5,1.175,1.2125,2.7,1.6125,1.5,1.5125,1.2625,1.4,0.8,0.8,1.0,1.1,1.4,1.8,1.5875,1.525,0.7,1.2,1.3125,1.275,2.0375,1.9,1.1,1.6,1.55,1.9375,1.175,1.2125,2.7
8,2018010108,8,133,20180101,8,CO,0.9,1.5250000000000001,1.1,1.6,1.125,1.225,1.125,1.375,1.45,1.3,1.2,1.225,1.2,1.2750000000000001,1.0750000000000002,1.2,1.5,1.2,1.2,1.7,1.5,1.7,1.1500000000000001,1.175,2.7,1.675,1.54,1.575,1.175,1.3,0.8,0.7,1.0,1.1,1.4,1.8,1.625,1.55,0.5,1.3,1.275,1.25,2.025,1.9,1.1,1.6,1.6,2.0250000000000004,1.1500000000000001,1.175,2.7
9,2018010109,9,148,20180101,9,CO,0.9,1.4125,1.0,1.45,0.9625000000000001,1.2125,1.0125000000000002,1.2875,1.375,1.3,1.2,1.1125,1.1,1.1875,1.0875000000000001,1.3,1.6,1.4,1.4,1.7,1.4,1.9,1.125,1.1375000000000002,2.7,1.7375,1.58,1.6375,1.0875,1.2000000000000002,0.7,0.8,1.1,1.4,1.4,1.8,1.6625,1.5750000000000002,0.5,1.5,1.2374999999999998,1.2249999999999999,2.0125,1.9,1.1,1.6,1.65,2.1125000000000003,1.125,1.1375000000000002,2.7
