,time,Unnamed: 0,Unnamed: 0.1,date,hour,type,1325A,1326A,1327A,1328A,1329A,1330A,1331A,1332A,1333A,1334A,2423A,2424A,2426A,2427A,2428A,2429A,2430A,2431A,2432A,2433A,2434A,2435A,2436A,2437A,2438A,2439A,2440A,2441A,2443A,2444A,2446A,2447A,2448A,2449A,2450A,2451A,2452A,2453A,2454A,2455A,1839A,1840A,1841A,1842A,1843A,1844A,1845A,1846A,2436A.1,2437A.1,2438A.1
0,2018010100,0,7,20180101,0,NO2,23.0,95.0,101.0,123.0,101.0,108.0,93.0,99.0,125.0,46.0,40.0,88.0,74.0,67.0,21.0,74.0,31.0,45.0,39.0,34.0,30.0,36.0,57.0,65.0,74.0,76.0,51.0,100.0,106.0,103.0,40.0,25.0,60.0,46.0,32.0,74.0,48.0,63.0,45.0,33.0,59.0,53.0,76.0,56.0,62.0,69.0,89.0,32.0,57.0,65.0,74.0
1,2018010101,1,22,20180101,1,NO2,23.0,89.0,88.0,114.0,99.0,106.0,87.0,96.0,112.0,46.0,40.0,85.0,63.0,65.0,18.0,66.0,34.0,35.0,35.0,35.0,29.0,37.0,56.0,54.0,94.0,99.0,76.0,89.0,107.0,104.0,46.0,25.0,48.0,51.0,33.0,74.0,57.0,62.0,40.0,29.0,60.0,55.0,71.0,49.0,62.0,69.0,89.0,34.0,56.0,54.0,94.0
2,2018010102,2,37,20180101,2,NO2,23.0,86.0,89.0,111.0,94.0,92.0,83.0,84.0,109.0,46.0,40.0,83.0,69.0,74.0,18.0,57.0,35.0,43.0,32.0,36.0,31.0,36.0,48.0,34.0,72.0,66.0,64.0,72.0,98.0,101.0,44.0,25.0,34.0,25.0,20.0,74.0,60.0,58.0,33.0,25.0,62.0,48.0,67.0,50.0,62.0,69.0,89.0,44.0,48.0,34.0,72.0
3,2018010103,3,52,20180101,3,NO2,23.0,80.75,83.75,106.375,87.625,87.875,77.875,78.875,103.875,46.0,40.0,76.25,64.625,69.125,19.25,50.0,42.0,48.0,31.0,32.0,30.0,61.0,47.0,33.125,72.25,69.25,65.0,73.625,89.875,92.625,31.0,16.0,28.0,18.0,16.0,74.0,58.5,56.625,27.0,23.0,61.375,48.25,66.125,48.625,62.0,69.0,84.5,46.375,47.0,33.125,72.25
4,2018010104,4,67,20180101,4,NO2,23.0,75.5,78.5,101.75,81.25,83.75,72.75,73.75,98.75,46.0,40.0,69.5,60.25,64.25,20.5,46.0,50.0,54.0,33.0,28.0,28.0,65.0,46.0,32.25,72.5,72.5,66.0,75.25,81.75,84.25,21.0,14.0,23.0,16.0,11.0,74.0,57.0,55.25,37.0,20.0,60.75,48.5,65.25,47.25,62.0,69.0,80.0,48.75,46.0,32.25,72.5
5,2018010105,5,82,20180101,5,NO2,23.0,70.25,73.25,97.125,74.875,79.625,67.625,68.625,93.625,46.0,40.0,62.75,55.875,59.375,21.75,47.0,46.0,55.0,48.0,57.0,57.0,42.0,45.0,31.375,72.75,75.75,67.0,76.875,73.625,75.875,18.0,15.0,23.0,15.0,14.0,74.0,55.5,53.875,36.0,19.0,60.125,48.75,64.375,45.875,62.0,69.0,75.5,51.125,45.0,31.375,72.75
6,2018010106,6,97,20180101,6,NO2,23.0,65.0,68.0,92.5,68.5,75.5,62.5,63.5,88.5,46.0,40.0,56.0,51.5,54.5,23.0,52.0,47.0,53.0,68.0,58.0,57.0,59.0,44.0,30.5,73.0,79.0,68.0,78.5,65.5,67.5,19.0,14.0,24.0,14.0,13.0,74.0,54.0,52.5,31.0,16.0,59.5,49.0,63.5,44.5,62.0,69.0,71.0,53.5,44.0,30.5,73.0
7,2018010107,7,112,20180101,7,NO2,23.0,59.75,62.75,87.875,62.125,71.375,57.375,58.375,83.375,46.0,40.0,49.25,47.125,49.625,24.25,57.0,48.0,54.0,71.0,50.0,75.0,67.0,43.0,29.625,73.25,82.25,69.0,80.125,57.375,59.125,20.0,12.0,26.0,17.0,14.0,74.0,52.5,51.125,33.0,16.0,58.875,49.25,62.625,43.125,62.0,69.0,66.5,55.875,43.0,29.625,73.25
8,2018010108,8,127,20180101,8,NO2,23.0,54.5,57.5,83.25,55.75,67.25,52.25,53.25,78.25,46.0,40.0,42.5,42.75,44.75,25.5,56.0,49.0,49.0,70.0,56.0,67.0,74.0,42.0,28.75,73.5,85.5,70.0,81.75,49.25,50.75,23.0,8.0,30.0,24.0,22.0,74.0,51.0,49.75,24.0,16.0,58.25,49.5,61.75,41.75,62.0,69.0,62.0,58.25,42.0,28.75,73.5
9,2018010109,9,142,20180101,9,NO2,23.0,49.25,52.25,78.625,49.375,63.125,47.125,48.125,73.125,46.0,40.0,35.75,38.375,39.875,26.75,53.0,48.0,55.0,72.0,56.0,54.0,75.0,41.0,27.875,73.75,88.75,71.0,83.375,41.125,42.375,29.0,10.0,31.0,46.0,30.0,74.0,49.5,48.375,25.0,15.0,57.625,49.75,60.875,40.375,62.0,69.0,57.5,60.625,41.0,27.875,73.75
