,time,Unnamed: 0,Unnamed: 0.1,date,hour,type,1325A,1326A,1327A,1328A,1329A,1330A,1331A,1332A,1333A,1334A,2423A,2424A,2426A,2427A,2428A,2429A,2430A,2431A,2432A,2433A,2434A,2435A,2436A,2437A,2438A,2439A,2440A,2441A,2443A,2444A,2446A,2447A,2448A,2449A,2450A,2451A,2452A,2453A,2454A,2455A,1839A,1840A,1841A,1842A,1843A,1844A,1845A,1846A,2436A.1,2437A.1,2438A.1
0,2018010100,0,5,20180101,0,SO2,11.0,22.0,26.0,23.0,44.0,27.0,21.0,17.0,24.0,10.0,29.0,7.0,16.0,8.0,14.0,16.0,28.0,5.0,19.0,24.0,27.0,17.0,8.0,23.0,67.0,23.0,18.0,80.0,24.0,21.0,31.0,3.0,2.0,4.0,6.0,23.0,26.0,25.0,8.0,8.0,10.0,11.0,12.0,11.0,16.0,34.0,27.0,16.0,8.0,23.0,67.0
1,2018010101,1,20,20180101,1,SO2,11.0,21.0,25.0,23.0,43.0,25.0,21.0,21.0,20.0,10.0,29.0,12.0,16.0,9.0,12.0,20.0,25.0,4.0,19.0,23.0,25.0,16.0,7.0,24.0,64.0,43.0,66.0,47.0,23.0,20.0,28.0,3.0,2.0,5.0,3.0,23.0,25.0,18.0,8.0,7.0,9.0,12.0,12.0,11.0,16.0,34.0,27.0,17.0,7.0,24.0,64.0
2,2018010102,2,35,20180101,2,SO2,11.0,20.0,25.0,24.0,50.0,28.0,20.0,28.0,22.0,10.0,29.0,25.0,47.0,12.0,12.0,22.0,22.0,4.0,21.0,26.0,22.0,15.0,10.0,17.0,53.0,44.0,110.0,154.0,22.0,18.0,11.0,3.0,1.0,8.0,2.0,23.0,23.0,20.0,7.0,6.0,10.0,10.0,11.0,11.0,16.0,34.0,27.0,18.0,10.0,17.0,53.0
3,2018010103,3,50,20180101,3,SO2,11.0,19.125,24.125,23.375,45.5,28.5,19.0,27.875,21.875,10.0,29.0,22.625,42.25,11.625,12.375,23.0,22.0,4.0,25.0,30.0,21.0,15.0,9.875,17.375,51.125,46.375,109.4,141.75,20.77777777777778,16.875,10.0,3.0,2.0,9.0,11.0,23.0,22.5,20.0,7.0,5.0,10.125,10.5,11.625,11.1,16.0,34.0,29.5,19.5,9.875,17.375,51.125
4,2018010104,4,65,20180101,4,SO2,11.0,18.25,23.25,22.75,41.0,29.0,18.0,27.75,21.75,10.0,29.0,20.25,37.5,11.25,12.75,20.0,34.0,4.0,26.0,31.0,24.0,15.0,9.75,17.75,49.25,48.75,108.8,129.5,19.555555555555557,15.75,5.0,1.0,2.0,8.0,10.0,23.0,22.0,20.0,8.0,5.0,10.25,11.0,12.25,11.2,16.0,34.0,32.0,21.0,9.75,17.75,49.25
5,2018010105,5,80,20180101,5,SO2,11.0,17.375,22.375,22.125,36.5,29.5,17.0,27.625,21.625,10.0,29.0,17.875,32.75,10.875,13.125,21.0,27.0,5.0,27.0,29.0,31.0,18.0,9.625,18.125,47.375,51.125,108.2,117.25,18.333333333333332,14.625,4.0,3.0,2.0,7.0,8.0,23.0,21.5,20.0,8.0,5.0,10.375,11.5,12.875,11.3,16.0,34.0,34.5,22.5,9.625,18.125,47.375
6,2018010106,6,95,20180101,6,SO2,11.0,16.5,21.5,21.5,32.0,30.0,16.0,27.5,21.5,10.0,29.0,15.5,28.0,10.5,13.5,22.0,26.0,4.0,34.0,34.0,36.0,23.0,9.5,18.5,45.5,53.5,107.6,105.0,17.11111111111111,13.5,4.0,3.0,2.0,7.0,6.0,23.0,21.0,20.0,8.0,5.0,10.5,12.0,13.5,11.4,16.0,34.0,37.0,24.0,9.5,18.5,45.5
7,2018010107,7,110,20180101,7,SO2,11.0,15.625,20.625,20.875,27.5,30.5,15.0,27.375,21.375,10.0,29.0,13.125,23.25,10.125,13.875,25.0,29.0,5.0,29.0,32.0,32.0,20.0,9.375,18.875,43.625,55.875,107.0,92.75,15.88888888888889,12.375,6.0,1.0,1.0,6.0,1.0,23.0,20.5,20.0,8.0,13.0,10.625,12.5,14.125,11.5,16.0,34.0,39.5,25.5,9.375,18.875,43.625
8,2018010108,8,125,20180101,8,SO2,11.0,14.75,19.75,20.25,23.0,31.0,14.0,27.25,21.25,10.0,29.0,10.75,18.5,9.75,14.25,22.0,26.0,6.0,32.0,32.0,29.0,18.0,9.25,19.25,41.75,58.25,106.4,80.5,14.666666666666666,11.25,7.0,3.0,2.0,6.0,6.0,23.0,20.0,20.0,8.0,15.0,10.75,13.0,14.75,11.6,16.0,34.0,42.0,27.0,9.25,19.25,41.75
9,2018010109,9,140,20180101,9,SO2,11.0,13.875,18.875,19.625,18.5,31.5,13.0,27.125,21.125,10.0,29.0,8.375,13.75,9.375,14.625,22.0,30.0,6.0,38.0,37.0,29.0,19.0,9.125,19.625,39.875,60.625,105.8,68.25,13.444444444444443,10.125,6.0,3.0,2.0,6.0,6.0,23.0,19.5,20.0,9.0,19.0,10.875,13.5,15.375,11.7,16.0,34.0,44.5,28.5,9.125,19.625,39.875
10,2018010110,10,155,20180101,10,SO2,11.0,13.0,18.0,19.0,14.0,32.0,12.0,27.0,21.0,10.0,29.0,6.0,9.0,9.0,15.0,23.0,30.0,7.0,30.0,34.0,58.0,20.0,9.0,20.0,38.0,63.0,105.2,56.0,12.222222222222221,9.0,7.0,1.0,2.0,6.0,2.0,23.0,19.0,20.0,10.0,11.0,11.0,14.0,16.0,11.8,16.0,34.0,47.0,30.0,9.0,20.0,38.0
11,2018010111,11,170,20180101,11,SO2,13.5,12.0,17.0,20.0,13.0,27.0,11.0,31.0,16.0,10.0,50.0,15.0,9.0,9.0,17.0,25.0,28.0,13.0,32.0,32.0,63.0,21.0,6.0,14.0,33.0,71.0,104.6,48.0,11.0,8.0,17.0,1.0,1.0,7.0,1.0,20.0,18.0,19.0,11.0,10.0,13.0,17.0,17.0,11.9,17.0,35.5,39.0,24.0,6.0,14.0,33.0
12,2018010112,12,185,20180101,12,SO2,16.0,15.0,18.0,24.0,16.0,25.0,14.0,29.0,17.0,10.0,43.0,5.0,8.0,8.0,19.0,31.0,32.0,17.0,35.0,26.0,64.0,26.0,6.0,14.0,39.0,56.0,104.0,38.0,11.0,9.0,19.0,1.0,1.0,8.0,8.0,16.0,15.0,18.0,9.0,8.0,15.0,17.0,17.0,12.0,16.0,37.0,56.0,23.0,6.0,14.0,39.0
13,2018010113,13,200,20180101,13,SO2,15.833333333333334,21.0,21.0,25.0,20.0,23.0,18.0,23.0,18.0,10.0,21.0,8.0,9.0,8.0,19.0,34.0,65.0,28.0,31.0,25.0,70.0,30.0,7.0,18.0,47.0,54.0,103.4,35.0,15.0,11.0,9.0,1.0,2.0,7.0,7.0,14.0,18.0,15.0,9.0,10.0,16.0,18.0,18.0,14.0,17.0,28.5,40.0,23.0,7.0,18.0,47.0
14,2018010114,14,215,20180101,14,SO2,15.666666666666666,18.0,22.0,22.0,25.0,21.0,17.0,21.0,20.0,10.0,16.0,6.0,9.0,9.0,18.0,26.0,44.0,27.0,30.0,24.0,86.0,33.0,7.0,16.0,45.0,46.0,102.8,32.0,19.0,15.0,8.0,1.0,1.0,7.0,6.0,16.0,20.0,14.0,10.0,10.0,21.0,19.0,19.0,19.0,18.0,20.0,39.0,20.0,7.0,16.0,45.0
15,2018010115,15,230,20180101,15,SO2,15.5,18.0,21.0,21.0,20.0,20.0,15.0,26.0,22.0,10.0,20.0,4.0,10.0,8.0,18.0,25.0,31.0,23.0,29.25,25.0,79.0,30.0,7.0,15.0,56.0,42.0,102.2,29.0,19.0,17.0,8.0,3.0,1.0,8.0,7.0,15.0,27.0,14.0,12.0,12.0,19.0,22.0,20.0,21.0,19.0,17.0,48.0,19.333333333333332,7.0,15.0,56.0
16,2018010116,16,245,20180101,16,SO2,15.333333333333334,19.0,18.0,23.0,18.0,20.0,14.0,24.0,22.0,10.0,17.0,4.0,8.0,9.0,18.0,25.0,45.0,23.0,28.5,24.0,75.0,25.0,7.0,17.0,57.0,42.0,101.6,31.0,17.0,19.0,11.0,3.0,2.0,7.0,3.0,18.0,32.0,19.0,12.0,12.0,18.0,20.0,19.0,24.0,20.0,16.75,49.0,18.666666666666668,7.0,17.0,57.0
17,2018010117,17,260,20180101,17,SO2,15.166666666666666,18.0,18.0,22.0,18.0,19.0,13.0,22.0,20.0,10.0,16.0,4.0,7.0,8.0,17.0,20.0,59.0,17.0,27.75,24.0,46.0,46.0,7.0,18.0,41.0,51.0,101.0,42.0,18.0,15.0,14.0,3.0,2.0,8.0,7.0,26.0,30.0,28.0,13.0,10.0,20.0,18.0,18.0,23.0,21.75,16.5,41.0,18.0,7.0,18.0,41.0
18,2018010118,18,275,20180101,18,SO2,15.0,17.0,17.0,21.0,17.0,21.0,12.0,19.0,18.0,10.0,15.0,5.0,7.0,7.0,15.0,21.0,33.0,13.0,27.0,23.0,37.0,29.0,9.0,25.0,19.0,35.0,100.4,24.0,19.0,17.0,12.0,3.0,2.0,10.0,8.0,27.0,26.0,28.0,18.0,9.0,21.0,20.0,20.0,22.0,23.5,16.25,37.0,15.0,9.0,25.0,19.0
19,2018010119,19,290,20180101,19,SO2,12.0,13.0,15.0,20.0,17.0,17.0,11.0,17.0,14.0,10.0,13.0,5.0,4.0,9.0,14.0,21.0,28.0,14.0,25.0,39.0,26.0,28.0,9.0,23.0,8.0,30.0,99.8,24.0,19.0,15.0,24.0,3.0,2.0,7.0,8.0,31.0,34.0,20.0,13.0,8.0,26.0,26.0,20.0,24.0,25.25,16.0,32.0,14.0,9.0,23.0,8.0
